" ID","Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Contextual keywords","Item address"
7741276,"Citroen C4 Picasso 1.6",https://www.autounica.com/it/citroen/c4-picasso-1-6-hdi-classique-sensori-cruise-uniproprietario_3411.htm,https://graphics.gestionaleauto.com/gonline_graphics/7741276_O_58ed0e13d9309.jpg,"Da Autounica a Brescia","Citroen C4 Picasso 1.6",Citroen,"6,900 EUR","""184.908 Km; Settembre 2008; Diesel; 80KW / 109CV; Manuale; Nero pastello; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
7993805,"Renault Grand Scenic 1.9",https://www.autounica.com/it/renault/grand-scenic-1-9-dci-7-posti-cerchi-16-ottima_3990.htm,https://graphics.gestionaleauto.com/gonline_graphics/7993805_O_59357ef8003dd.jpg,"Da Autounica a Brescia","Renault Grand Scenic 1.9",Renault,"4,500 EUR","""176.198 Km; Novembre 2007; Diesel; 96KW / 131CV; Manuale; champagne metallizza; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
7996096,"Smart Fortwo 1000 Coupe'",https://www.autounica.com/it/smart/fortwo-1000-coupe-passion-automat-tetto_4011.htm,https://graphics.gestionaleauto.com/gonline_graphics/7996096_O_5988381acad67.jpg,"Da Autounica a Brescia","Smart Fortwo 1000 Coupe'",Smart,"5,900 EUR","""90.971 Km; Luglio 2013; Benzina; 62KW / 84CV; Automatico; Nero pastello; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8008284,"Seat Altea 1.6 Tdi Cr Dpf",https://www.autounica.com/it/seat/altea-1-6-tdi-cr-dpf-dsg-style-aut-sens-cruise-cerchi_4080.htm,https://graphics.gestionaleauto.com/gonline_graphics/8008284_O_59391816c84bc.jpg,"Da Autounica a Brescia","Seat Altea 1.6 Tdi Cr Dpf",Seat,"7,900 EUR","""110.107 Km; Agosto 2010; Diesel; 77KW / 105CV; Automatico; Bianco pastello; Grigio - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8041382,"Seat Altea 1.9 Tdi",https://www.autounica.com/it/seat/altea-1-9-tdi-reference-unipropriet-cruise-clima-bi-zona_4131.htm,https://graphics.gestionaleauto.com/gonline_graphics/8041382_O_59416f847d5c9.jpg,"Da Autounica a Brescia","Seat Altea 1.9 Tdi",Seat,"3,900 EUR","""217.949 Km; Luglio 2004; Diesel; 77KW / 105CV; Manuale; Argento metallizzato; Grigio scuro - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8048481,"Mercedes-benz B 180 Cdi",https://www.autounica.com/it/mercedes-benz/b-180-cdi-chrome-sensori-solo-109-000-km_4137.htm,https://graphics.gestionaleauto.com/gonline_graphics/8048481_O_5943a4c09e0c8.jpg,"Da Autounica a Brescia","Mercedes-benz B 180 Cdi",Mercedes-benz,"7,900 EUR","""109.857 Km; Marzo 2008; Diesel; 80KW / 109CV; Manuale; Argento metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8112584,"Land Rover Range Rover",https://www.autounica.com/it/land-rover/range-rover-evoque-2-2-sd4-coupe-prestige-4x4-aut-navi-pelle-tetto_4169.htm,https://graphics.gestionaleauto.com/gonline_graphics/8112584_O_5955217c0645a.jpg,"Da Autounica a Brescia","Land Rover Range Rover","Land Rover","29,900 EUR","""43.324 Km; Novembre 2011; Diesel; 140KW / 190CV; Automatico; Nero metallizzato; Nero - Pelle""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8116668,"Renault Scenic 1.6 16v Ss",https://www.autounica.com/it/renault/scenic-1-6-16v-ss-sensori-unipropr-pelle-solo-84-000-km_4171.htm,https://graphics.gestionaleauto.com/gonline_graphics/8116668_O_5959fa212abf7.jpg,"Da Autounica a Brescia","Renault Scenic 1.6 16v Ss",Renault,"4,900 EUR","""84.577 Km; Giugno 2008; Benzina; 82KW / 111CV; Manuale; Nero metallizzato; Nero - Pelle/Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124607,"Toyota Yaris 1.5 Hybrid 5",https://www.autounica.com/it/toyota/yaris-1-5-hybrid-5-porte-lounge-neopate-aut-navi-telecam_4188.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124607_O_5959ff84d3600.jpg,"Da Autounica a Brescia","Toyota Yaris 1.5 Hybrid 5",Toyota,"11,900 EUR","""55.204 Km; Aprile 2014; Elettrica/Benzina; 55KW / 75CV; Automatico; Bianco pastello; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124610,"Toyota Yaris 1.4 D-4d 5",https://www.autounica.com/it/toyota/yaris-1-4-d-4d-5-porte-clima-radio-cd_4212.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124610_O_5959ffa246b97.jpg,"Da Autounica a Brescia","Toyota Yaris 1.4 D-4d 5",Toyota,"4,900 EUR","""156.267 Km; Maggio 2007; Diesel; 66KW / 90CV; Manuale; Antracite metallizza; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124545,"Volkswagen Golf Gte 1.4",https://www.autounica.com/it/volkswagen/golf-gte-1-4-tsi-dsg-plug-in-hybrid-aut-navi-bixenon_4219.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124545_O_5959fe5a535a3.jpg,"Da Autounica a Brescia","Volkswagen Golf Gte 1.4",Volkswagen,"28,900 EUR","""31.324 Km; Aprile 2016; Elettrica/Benzina; 110KW / 150CV; Automatico; Antracite metallizza; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8125383,"Audi A3 Spb 1.6 Tdi Clean",https://www.autounica.com/it/audi/a3-spb-1-6-tdi-clean-s-tronic-business-aut-navi_4228.htm,https://graphics.gestionaleauto.com/gonline_graphics/8125383_O_595a17515ad77.jpg,"Da Autounica a Brescia","Audi A3 Spb 1.6 Tdi Clean",Audi,"19,900 EUR","""39.989 Km; Ottobre 2014; Diesel; 81KW / 110CV; Automatico; Nero metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124718,"Opel Antara 2.0 Cdti",https://www.autounica.com/it/opel/antara-2-0-cdti-cosmo-4x4-sens-cerchi-17-solo-102-000-km_4253.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124718_O_595a02b6c0f61.jpg,"Da Autounica a Brescia","Opel Antara 2.0 Cdti",Opel,"9,900 EUR","""102.366 Km; Febbraio 2009; Diesel; 110KW / 150CV; Manuale; Nero metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124683,"Suzuki Sx4 2.0 Ddis 16v",https://www.autounica.com/it/suzuki/sx4-2-0-ddis-16v-outdoor-4x4-navi-cruise-79-000-km_4257.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124683_O_595a01484a1e0.jpg,"Da Autounica a Brescia","Suzuki Sx4 2.0 Ddis 16v",Suzuki,"11,900 EUR","""79.874 Km; Agosto 2013; Diesel; 99KW / 135CV; Manuale; Nero metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124517,"Volkswagen Passat 1.4 Tsi",https://www.autounica.com/it/volkswagen/passat-1-4-tsi-variant-ecofuel-metano-sens-uniproprietar_4258.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124517_O_5959fda959f9f.jpg,"Da Autounica a Brescia","Volkswagen Passat 1.4 Tsi",Volkswagen,"9,900 EUR","""124.761 Km; Maggio 2010; Benzina/Metano; 110KW / 150CV; Manuale; Nero metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124713,"Opel Corsa 1.2 5 Porte",https://www.autounica.com/it/opel/corsa-1-2-5-porte-b-color-neopatentati-solo-45-000-km_4263.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124713_O_595a0290528e7.jpg,"Da Autounica a Brescia","Opel Corsa 1.2 5 Porte",Opel,"8,500 EUR","""45.086 Km; Aprile 2015; Benzina; 51KW / 69CV; Manuale; Grigio perlato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124620,"Toyota Yaris 1.4 D-4d 3",https://www.autounica.com/it/toyota/yaris-1-4-d-4d-3-porte-sol-automatica-solo-71-000-km_4266.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124620_O_595a0006dddee.jpg,"Da Autounica a Brescia","Toyota Yaris 1.4 D-4d 3",Toyota,"5,900 EUR","""71.141 Km; Gennaio 2007; Diesel; 66KW / 90CV; Automatico; Grigio metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124509,"Volkswagen Passat 1.6 Fsi",https://www.autounica.com/it/volkswagen/passat-1-6-fsi-trendline-berlina-sens-cruise-clima-bi-zon_4280.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124509_O_5959fd6db6c3e.jpg,"Da Autounica a Brescia","Volkswagen Passat 1.6 Fsi",Volkswagen,"6,500 EUR","""123.605 Km; Dicembre 2005; Benzina; 85KW / 116CV; Manuale; Argento metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8124730,"Opel Adam 1.4 Gpl Tech",https://www.autounica.com/it/opel/adam-1-4-gpl-tech-jam-neopatentati-cruise-unipropriet_4297.htm,https://graphics.gestionaleauto.com/gonline_graphics/8124730_O_595a0317eb8bd.jpg,"Da Autounica a Brescia","Opel Adam 1.4 Gpl Tech",Opel,"8,900 EUR","""93.333 Km; Novembre 2013; Benzina/GPL; 64KW / 87CV; Manuale; Grigio scuro metalli; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8144423,"Toyota Avensis 2.2 D-4d",https://www.autounica.com/it/toyota/avensis-2-2-d-4d-16v-station-wagon-cerchi-clima-bi-zona_4345.htm,https://graphics.gestionaleauto.com/gonline_graphics/8144423_O_5979e3b024439.jpg,"Da Autounica a Brescia","Toyota Avensis 2.2 D-4d",Toyota,"4,900 EUR","""153.802 Km; Aprile 2006; Diesel; 110KW / 150CV; Manuale; Grigio metallizzato; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8144419,"Opel Astra Twintop 1.9",https://www.autounica.com/it/opel/astra-twintop-1-9-cdti-cosmo-cabrio-pelle-sens-cerchi-17_4348.htm,https://graphics.gestionaleauto.com/gonline_graphics/8144419_O_595e39519d7b8.jpg,"Da Autounica a Brescia","Opel Astra Twintop 1.9",Opel,"5,900 EUR","""155.919 Km; Giugno 2007; Diesel; 110KW / 150CV; Manuale; Argento metallizzato; Nero - Pelle/Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8144353,"Bmw 525 D Xdrive Touring",https://www.autounica.com/it/bmw/525-d-xdrive-touring-modern-4x4-aut-pelle-navi-xenon_4353.htm,https://graphics.gestionaleauto.com/gonline_graphics/8144353_O_595e365ed26ab.jpg,"Da Autounica a Brescia","Bmw 525 D Xdrive Touring",Bmw,"25,900 EUR","""123.714 Km; Marzo 2014; Diesel; 160KW / 218CV; Automatico; Grigio scuro metalli; Nero - Pelle""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8162616,"Mercedes-benz A 160 Cdi",https://www.autounica.com/it/mercedes-benz/a-160-cdi-sport-pelle-neopaten-cerchi-17-solo-37-000-km_4371.htm,https://graphics.gestionaleauto.com/gonline_graphics/8162616_O_59842f8db3bb2.jpg,"Da Autounica a Brescia","Mercedes-benz A 160 Cdi",Mercedes-benz,"19,500 EUR","""37.983 Km; Ottobre 2014; Diesel; 66KW / 90CV; Manuale; Nero metallizzato; Nero - Pelle/Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8193684,"Nissan Qashqai 1.6 Dci",https://www.autounica.com/it/nissan/qashqai-1-6-dci-tekna-pelle-autom-navi-sens-tetto-bi-xenon_4389.htm,https://graphics.gestionaleauto.com/gonline_graphics/8193684_O_596e472459871.jpg,"Da Autounica a Brescia","Nissan Qashqai 1.6 Dci",Nissan,"18,900 EUR","""122.747 Km; Marzo 2015; Diesel; 96KW / 131CV; Automatico; Antracite metallizza; Nero - Pelle/Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8193742,"Toyota Rav 4 2.0 D-4d",https://www.autounica.com/it/toyota/rav-4-2-0-d-4d-lounge-4wd-pelle-sens-navi-xenon-led-4x4_4390.htm,https://graphics.gestionaleauto.com/gonline_graphics/8193742_O_596e02ff07e08.jpg,"Da Autounica a Brescia","Toyota Rav 4 2.0 D-4d",Toyota,"19,900 EUR","""83.279 Km; Gennaio 2014; Diesel; 91KW / 124CV; Manuale; Antracite metallizza; Beige - Pelle""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8201639,"Mini Cooper Abbey Road",https://www.autounica.com/it/mini/cooper-abbey-road-autom-pelle-sens-tetto-solo-31-000-km_4393.htm,https://graphics.gestionaleauto.com/gonline_graphics/8201639_O_596f52bdd394b.jpg,"Da Autounica a Brescia","Mini Cooper Abbey Road",Mini,"9,900 EUR","""31.405 Km; Dicembre 2008; Benzina; 70KW / 95CV; Automatico; Panna pastello; Beige - Pelle/Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
8203127,"Toyota Aygo 1.0 Vvt-i",https://www.autounica.com/it/toyota/aygo-1-0-vvt-i-connect-neopatent-navi-solo-32-000-km_4394.htm,https://graphics.gestionaleauto.com/gonline_graphics/8203127_O_596f8966a844d.jpg,"Da Autounica a Brescia","Toyota Aygo 1.0 Vvt-i",Toyota,"6,500 EUR","""32.820 Km; Giugno 2011; Benzina; 50KW / 68CV; Manuale; Bianco pastello; Nero - Tessuto""","- Brescia, BS - Via Valcamonica, 19/h - 45,5471165 ,10,1638985"
